LAST_UPDATE_2022,COUNTY,CANDIDATE_NAME_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,CANDIDATE_PARTY_4,VOTES_WON_1,VOTES_WON_2,VOTES_WON_3,VOTES_WON_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,ST_TOTAL_VOTES_TALLIED,ST_VOTE_SHARE_1,ST_VOTE_SHARE_2,ST_VOTE_SHARE_3,ST_VOTE_SHARE_4,ST_LEAD_PARTY,ST_LEAD_CANDIDATE,ST_RAW_MARGIN,ST_MARGIN_PERCENTPOINTS,ST_LEAD_VOTESHARE,ST_SECOND_PARTY,ST_SECOND_CANDIDATE,ST_SECOND_VOTESHARE,FIPS,WINNER_PARTY_18,WINNER_CANDIDATE_18,VOTE_SHARE_WINNER_18,MARGIN_PERCENTPOINTS_18,ST_WINNER_CANDIDATE_18,ST_WINNER_VOTESHARE_18,ST_MARGIN_PERCENTPOINTS_18,ST_WINNER_PARTY_18
Last updated at 11-13-2022 21:21,Alachua,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,40289,54719,309,474,95791,42.06,57.12,0.32,0.49,DEM,Crist/Hernandez (DEM),14430,15.06,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12001,DEM,Andrew Gillum (DEM),63.1,27.3,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Baker,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,9594,1092,18,21,10725,89.45,10.18,0.17,0.2,REP,DeSantis/Nuñez (REP),8502,79.27,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12003,REP,Ron DeSantis (REP),82.4,65.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Bay,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,52515,14059,198,211,66983,78.4,20.99,0.3,0.32,REP,DeSantis/Nuñez (REP),38456,57.41,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12005,REP,Ron DeSantis (REP),72.2,45.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Bradford,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,8346,1851,23,46,10266,81.3,18.03,0.22,0.45,REP,DeSantis/Nuñez (REP),6495,63.27,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12007,REP,Ron DeSantis (REP),73.3,47.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Brevard,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,170439,94993,755,1003,267190,63.79,35.55,0.28,0.38,REP,DeSantis/Nuñez (REP),75446,28.24,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12009,REP,Ron DeSantis (REP),57.6,16.8,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Broward,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,251120,342988,1327,2746,598181,41.98,57.34,0.22,0.46,DEM,Crist/Hernandez (DEM),91868,15.36,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12011,DEM,Andrew Gillum (DEM),68.0,36.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Calhoun,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,4176,655,7,14,4852,86.07,13.5,0.14,0.29,REP,DeSantis/Nuñez (REP),3521,72.57,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12013,REP,Ron DeSantis (REP),77.6,57.6,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Charlotte,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,65310,26983,124,219,92636,70.5,29.13,0.13,0.24,REP,DeSantis/Nuñez (REP),38327,41.37,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12015,REP,Ron DeSantis (REP),62.3,26.3,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Citrus,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,56228,19068,167,274,75737,74.24,25.18,0.22,0.36,REP,DeSantis/Nuñez (REP),37160,49.06,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12017,REP,Ron DeSantis (REP),67.3,37.4,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Clay,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,67257,22157,279,361,90054,74.69,24.6,0.31,0.4,REP,DeSantis/Nuñez (REP),45100,50.08,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12019,REP,Ron DeSantis (REP),68.9,38.8,Ron DeSantis (REP),49.6,0.4,REP
