COUNTY,FIPS,WINNER_PARTY_18,WINNER_CANDIDATE_18,VOTE_SHARE_WINNER_18,MARGIN_PERCENTPOINTS_18,ST_WINNER_CANDIDATE_18,ST_WINNER_VOTESHARE_18,ST_MARGIN_PERCENTPOINTS_18,ST_WINNER_PARTY_18
Alachua,12001,DEM,Andrew Gillum (DEM),63.1,27.3,Ron DeSantis (REP),49.6,0.4,REP
Baker,12003,REP,Ron DeSantis (REP),82.4,65.7,Ron DeSantis (REP),49.6,0.4,REP
Bay,12005,REP,Ron DeSantis (REP),72.2,45.7,Ron DeSantis (REP),49.6,0.4,REP
Bradford,12007,REP,Ron DeSantis (REP),73.3,47.9,Ron DeSantis (REP),49.6,0.4,REP
Brevard,12009,REP,Ron DeSantis (REP),57.6,16.8,Ron DeSantis (REP),49.6,0.4,REP
Broward,12011,DEM,Andrew Gillum (DEM),68,36.7,Ron DeSantis (REP),49.6,0.4,REP
Calhoun,12013,REP,Ron DeSantis (REP),77.6,57.6,Ron DeSantis (REP),49.6,0.4,REP
Charlotte,12015,REP,Ron DeSantis (REP),62.3,26.3,Ron DeSantis (REP),49.6,0.4,REP
Citrus,12017,REP,Ron DeSantis (REP),67.3,37.4,Ron DeSantis (REP),49.6,0.4,REP
Clay,12019,REP,Ron DeSantis (REP),68.9,38.8,Ron DeSantis (REP),49.6,0.4,REP
Collier,12021,REP,Ron DeSantis (REP),64.5,30,Ron DeSantis (REP),49.6,0.4,REP
Columbia,12023,REP,Ron DeSantis (REP),70.1,41.5,Ron DeSantis (REP),49.6,0.4,REP
Desoto,12027,REP,Ron DeSantis (REP),63.6,29.2,Ron DeSantis (REP),49.6,0.4,REP
Dixie,12029,REP,Ron DeSantis (REP),80.4,63,Ron DeSantis (REP),49.6,0.4,REP
Duval,12031,DEM,Andrew Gillum (DEM),51.7,4.4,Ron DeSantis (REP),49.6,0.4,REP
Escambia,12033,REP,Ron DeSantis (REP),57.8,17,Ron DeSantis (REP),49.6,0.4,REP
Flagler,12035,REP,Ron DeSantis (REP),58.6,18.5,Ron DeSantis (REP),49.6,0.4,REP
Franklin,12037,REP,Ron DeSantis (REP),64.7,31.7,Ron DeSantis (REP),49.6,0.4,REP
Gadsden,12039,DEM,Andrew Gillum (DEM),68.4,37.5,Ron DeSantis (REP),49.6,0.4,REP
Gilchrist,12041,REP,Ron DeSantis (REP),81.1,63.7,Ron DeSantis (REP),49.6,0.4,REP
Glades,12043,REP,Ron DeSantis (REP),69.1,40.5,Ron DeSantis (REP),49.6,0.4,REP
Gulf,12045,REP,Ron DeSantis (REP),72.3,46.7,Ron DeSantis (REP),49.6,0.4,REP
Hamilton,12047,REP,Ron DeSantis (REP),63.9,28.9,Ron DeSantis (REP),49.6,0.4,REP
Hardee,12049,REP,Ron DeSantis (REP),70.1,41.9,Ron DeSantis (REP),49.6,0.4,REP
Hendry,12051,REP,Ron DeSantis (REP),58.3,18.7,Ron DeSantis (REP),49.6,0.4,REP
Hernando,12053,REP,Ron DeSantis (REP),61.6,25.1,Ron DeSantis (REP),49.6,0.4,REP
Highlands,12055,REP,Ron DeSantis (REP),66.1,33.9,Ron DeSantis (REP),49.6,0.4,REP
Hillsborough,12057,DEM,Andrew Gillum (DEM),53.9,9,Ron DeSantis (REP),49.6,0.4,REP
Holmes,12059,REP,Ron DeSantis (REP),87.7,76.8,Ron DeSantis (REP),49.6,0.4,REP
Indian River,12061,REP,Ron DeSantis (REP),60.5,22.2,Ron DeSantis (REP),49.6,0.4,REP
Jackson,12063,REP,Ron DeSantis (REP),67.4,36,Ron DeSantis (REP),49.6,0.4,REP
Jefferson,12065,REP,Ron DeSantis (REP),52.7,6.8,Ron DeSantis (REP),49.6,0.4,REP
Lafayette,12067,REP,Ron DeSantis (REP),83.7,68.9,Ron DeSantis (REP),49.6,0.4,REP
Lake,12069,REP,Ron DeSantis (REP),59.7,20.8,Ron DeSantis (REP),49.6,0.4,REP
Lee,12071,REP,Ron DeSantis (REP),60.1,21.7,Ron DeSantis (REP),49.6,0.4,REP
Leon,12073,DEM,Andrew Gillum (DEM),63.4,27.7,Ron DeSantis (REP),49.6,0.4,REP
Levy,12075,REP,Ron DeSantis (REP),70.7,43.1,Ron DeSantis (REP),49.6,0.4,REP
Liberty,12077,REP,Ron DeSantis (REP),76.8,57.2,Ron DeSantis (REP),49.6,0.4,REP
Madison,12079,REP,Ron DeSantis (REP),57,14.6,Ron DeSantis (REP),49.6,0.4,REP
Manatee,12081,REP,Ron DeSantis (REP),57.1,15.7,Ron DeSantis (REP),49.6,0.4,REP
Marion,12083,REP,Ron DeSantis (REP),61.3,24.2,Ron DeSantis (REP),49.6,0.4,REP
Martin,12085,REP,Ron DeSantis (REP),61.5,24,Ron DeSantis (REP),49.6,0.4,REP
Miami-Dade,12086,DEM,Andrew Gillum (DEM),59.9,20.9,Ron DeSantis (REP),49.6,0.4,REP
Monroe,12087,REP,Ron DeSantis (REP),51.2,3.7,Ron DeSantis (REP),49.6,0.4,REP
Nassau,12089,REP,Ron DeSantis (REP),72.8,46.5,Ron DeSantis (REP),49.6,0.4,REP
Okaloosa,12091,REP,Ron DeSantis (REP),71.5,44.8,Ron DeSantis (REP),49.6,0.4,REP
Okeechobee,12093,REP,Ron DeSantis (REP),68.8,39.4,Ron DeSantis (REP),49.6,0.4,REP
Orange,12095,DEM,Andrew Gillum (DEM),62.3,25.7,Ron DeSantis (REP),49.6,0.4,REP
Osceola,12097,DEM,Andrew Gillum (DEM),59.7,20.9,Ron DeSantis (REP),49.6,0.4,REP
Palm Beach,12099,DEM,Andrew Gillum (DEM),58.2,17.1,Ron DeSantis (REP),49.6,0.4,REP
Pasco,12101,REP,Ron DeSantis (REP),57.2,16.2,Ron DeSantis (REP),49.6,0.4,REP
Pinellas,12103,DEM,Andrew Gillum (DEM),50.7,3,Ron DeSantis (REP),49.6,0.4,REP
Polk,12105,REP,Ron DeSantis (REP),55.9,13.3,Ron DeSantis (REP),49.6,0.4,REP
Putnam,12107,REP,Ron DeSantis (REP),66.6,34.6,Ron DeSantis (REP),49.6,0.4,REP
Santa Rosa,12113,REP,Ron DeSantis (REP),74.3,50.2,Ron DeSantis (REP),49.6,0.4,REP
