LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE
Last updated at 11-14-2022 21:00,A001,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),358,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),612,REP,973,0.21,36.79,0.1,62.9,REP,Ron DeSantis (REP),254,26.1,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1713,Majority White,Other,27.3,36.8,33.4,85.7,1.5,5.7
Last updated at 11-14-2022 21:00,A002,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),910,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),1783,REP,2708,0.48,33.6,0.07,65.84,REP,Ron DeSantis (REP),873,32.24,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4359,Majority White,Other,25.9,41.3,30.2,84.8,1.4,6.6
Last updated at 11-14-2022 21:00,A003,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),888,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),1158,REP,2063,0.39,43.04,0.44,56.13,REP,Ron DeSantis (REP),270,13.09,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4486,Majority White,Other,36.2,27.7,33.9,65.3,8.8,15.9
Last updated at 11-14-2022 21:00,A004,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),780,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),421,REP,1211,0.33,64.41,0.5,34.76,DEM,Charlie Crist (DEM),359,29.64,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3267,Other,Heavily Democrat,56.3,13.8,27.9,29.8,42.2,19.3
Last updated at 11-14-2022 21:00,A005,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1035,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),190,REP,1241,0.64,83.4,0.64,15.31,DEM,Charlie Crist (DEM),845,68.09,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3563,Majority Black,Heavily Democrat,69.6,7.0,22.3,12.8,68.0,11.5
Last updated at 11-14-2022 21:00,A006,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),374,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),114,REP,493,0.61,75.86,0.41,23.12,DEM,Charlie Crist (DEM),260,52.74,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1620,Majority Black,Heavily Democrat,64.7,8.4,25.6,13.3,62.9,14.6
Last updated at 11-14-2022 21:00,A007,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),422,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),171,REP,601,0.83,70.22,0.5,28.45,DEM,Charlie Crist (DEM),251,41.76,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1879,Majority Black,Heavily Democrat,61.7,11.2,25.9,19.5,51.9,18.0
Last updated at 11-14-2022 21:00,A008,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),219,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),86,REP,308,0.32,71.1,0.65,27.92,DEM,Charlie Crist (DEM),133,43.18,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,913,Other,Heavily Democrat,56.7,12.7,28.9,22.5,42.7,22.3
Last updated at 11-14-2022 21:00,A009,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),149,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),143,REP,294,0.68,50.68,0.0,48.64,DEM,Charlie Crist (DEM),6,2.04,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,764,Majority White,Other,40.4,26.2,31.2,65.8,8.1,18.8
Last updated at 11-14-2022 21:00,A010,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1162,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1263,REP,2442,0.41,47.58,0.29,51.72,REP,Ron DeSantis (REP),101,4.14,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4923,Majority White,Other,39.8,26.4,31.5,62.4,12.4,15.9
