BASE_PRECINCT,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE
A001,1713,Majority White,Other,27.3,36.8,33.4,85.7,1.5,5.7
A002,4359,Majority White,Other,25.9,41.3,30.2,84.8,1.4,6.6
A003,4486,Majority White,Other,36.2,27.7,33.9,65.3,8.8,15.9
A004,3267,Other,Heavily Democrat,56.3,13.8,27.9,29.8,42.2,19.3
A005,3563,Majority Black,Heavily Democrat,69.6,7,22.3,12.8,68,11.5
A006,1620,Majority Black,Heavily Democrat,64.7,8.4,25.6,13.3,62.9,14.6
A007,1879,Majority Black,Heavily Democrat,61.7,11.2,25.9,19.5,51.9,18
A008,913,Other,Heavily Democrat,56.7,12.7,28.9,22.5,42.7,22.3
A009,764,Majority White,Other,40.4,26.2,31.2,65.8,8.1,18.8
A010,4923,Majority White,Other,39.8,26.4,31.5,62.4,12.4,15.9
A011,5671,Majority White,Other,41.4,30.4,26.6,76.6,2.8,11.8
A012,2169,Majority White,Other,40.8,25.1,32.6,62,9.2,19
A013,4059,Other,Other,44.3,19.9,34,42.5,22.4,23
A014,4378,Majority White,Other,38.9,26.2,32.9,57.2,10.1,22.2
A015,3423,Majority White,Other,38.6,26.6,32.6,61.8,9.5,17.6
A016,1674,Majority Black,Heavily Democrat,79.2,3.6,16.8,3.6,86.6,3.5
B001,4448,Majority White,Heavily Republican,20.1,53.2,24.9,87,0.9,6.6
B002,4012,Majority White,Other,24,48.1,25.8,83.6,1.6,8.1
C001,4138,Majority White,Other,29,39.9,28.6,82.4,2.2,8.4
C002,5687,Majority White,Other,28.7,38.5,29.7,81.3,3.1,8.1
C003,5294,Majority White,Other,28.1,39.1,30.5,81.2,1.9,8.8
C004,1877,Majority White,Other,29.5,40.6,27,79.6,4.5,9
C005,5147,Majority White,Other,38.7,29.9,29.6,60.7,17.6,13.9
C006,4597,Majority White,Other,31.5,36.8,29.6,75.7,5.7,10.7
C007,1858,Majority White,Other,35.7,32.9,29.4,68.6,11.1,11.9
C008,5255,Other,Other,44.2,21.9,32,48.2,21.8,20.6
C009,3947,Other,Other,41.7,23.4,32.9,47.9,18.6,22.7
C010,2632,Other,Heavily Democrat,55.6,17.5,25.3,37.1,38.6,16
C011,3323,Majority Black,Heavily Democrat,74.6,4.8,19.6,6.1,79.8,7.3
C012,879,Majority Black,Heavily Democrat,65.6,9.1,24.1,15.2,61.9,14.9
C013,807,Majority White,Other,44.9,39.3,14.6,95.9,0.5,1.2
C014,2994,Majority Black,Heavily Democrat,81.1,3.3,14.7,2.1,87.3,4.7
C015,1050,Other,Heavily Democrat,57.3,12.7,28.3,24,45.5,18.5
C016,784,Other,Other,43.8,14.3,40.3,36,16.3,36.2
C017,2199,Majority Black,Heavily Democrat,73.1,4.7,21.3,3.2,77.2,11.8
C018,1961,Majority White,Other,44.3,24.4,29.3,68.2,6.6,15.9
C019,2989,Majority White,Other,43.6,23.1,32,65.1,8.2,17.3
C020,6022,Majority White,Other,45.6,24.4,28.3,58.6,14.3,18.6
C021,4039,Majority Black,Heavily Democrat,70.9,7,20.9,11.9,71.2,9.6
C022,189,Majority Black,Heavily Democrat,55,15.9,28.6,28.6,51.9,10.1
D001,3173,Majority White,Other,45.4,22.3,30.5,54.5,13,23.2
D002,3777,Majority White,Other,47.8,24.3,26.1,76.8,3.3,12.2
D003,3217,Other,Heavily Democrat,56.4,13.6,28.2,40.2,30.6,19.8
D004,3933,Majority White,Other,44.6,24.4,29.4,58.2,6.8,26.2
D005,1947,Other,Other,49.9,19.2,29.4,48.2,17.6,25.5
D006,1499,Majority White,Heavily Democrat,56,14.7,27.8,52.8,19.3,18.7
D007,3133,Majority White,Heavily Democrat,51.7,19.9,26.7,60.2,16.2,14.6
D008,4409,Other,Heavily Democrat,61.3,10.8,26.3,36.9,40.3,13.2
D009,340,Majority Black,Heavily Democrat,73.8,5.6,18.8,9.7,69.7,9.4
D010,1269,Majority Black,Heavily Democrat,68,8,22.9,13.5,67,10.1
E001,7362,Other,Other,42.2,25.5,30.4,49.3,19.1,18
E002,3915,Other,Other,49.2,17.9,31,32.1,33.5,19.9
E003,5612,Other,Other,40.9,25.7,32,49.3,16.5,21.4
E004,5016,Other,Other,44.7,23.3,30.4,40.4,24.6,21.4
E005,5361,Other,Other,48.5,18.2,31.7,34.8,21.4,30.4
E006,4273,Other,Other,47.7,17.9,32.4,39.1,21.4,27.3
