LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE
Last updated at 11-14-2022 20:55,101,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),998,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1273,REP,2289,0.48,43.6,0.31,55.61,REP,Ron DeSantis (REP),275,12.01,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,4849,Majority White,Other,30.9,33.8,33.1,65.1,13.9,9.8,11.1
Last updated at 11-14-2022 20:55,103,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1118,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),1764,REP,2900,0.31,38.55,0.31,60.83,REP,Ron DeSantis (REP),646,22.28,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,5380,Majority White,Other,28.9,36.7,32.0,72.0,7.6,11.3,9.1
Last updated at 11-14-2022 20:55,105,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1089,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),1129,REP,2239,0.49,48.64,0.45,50.42,REP,Ron DeSantis (REP),40,1.79,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,4836,Majority White,Other,38.6,27.8,31.9,56.0,14.7,16.4,12.9
Last updated at 11-14-2022 20:55,107,Carmen Jackie Gimenez (NPA),19,NPA,Charlie Crist (DEM),1242,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),1681,REP,2952,0.64,42.07,0.34,56.94,REP,Ron DeSantis (REP),439,14.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,5187,Majority White,Other,32.6,34.9,30.1,71.4,8.3,9.6,10.7
Last updated at 11-14-2022 20:55,108,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),660,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),923,REP,1594,0.38,41.41,0.31,57.9,REP,Ron DeSantis (REP),263,16.5,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2478,Majority White,Other,31.1,39.1,27.1,77.6,5.9,8.2,8.3
Last updated at 11-14-2022 20:55,109,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),675,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),894,REP,1579,0.51,42.75,0.13,56.62,REP,Ron DeSantis (REP),219,13.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2353,Majority White,Other,32.9,40.0,25.1,84.7,3.1,5.9,6.3
Last updated at 11-14-2022 20:55,111,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),676,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),829,REP,1511,0.2,44.74,0.2,54.86,REP,Ron DeSantis (REP),153,10.13,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2075,Majority White,Other,33.0,40.5,24.9,86.0,2.3,6.1,5.6
Last updated at 11-14-2022 20:55,112,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),735,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),895,REP,1635,0.18,44.95,0.12,54.74,REP,Ron DeSantis (REP),160,9.79,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2306,Majority White,Other,30.4,41.4,26.3,83.7,1.3,6.2,8.9
Last updated at 11-14-2022 20:55,113,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),839,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),874,REP,1729,0.46,48.53,0.46,50.55,REP,Ron DeSantis (REP),35,2.02,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2824,Majority White,Other,36.2,34.3,27.5,75.3,4.6,11.4,8.6
Last updated at 11-14-2022 20:55,115,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),458,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),659,REP,1125,0.18,40.71,0.53,58.58,REP,Ron DeSantis (REP),201,17.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2024,Majority White,Other,32.6,33.3,31.9,75.7,3.6,12.1,8.7
