BASE_PRECINCT,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
1,Ron DeSantis (REP),REP,30.89,65.1,Ron DeSantis (REP) won with 65.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunny Isles Beach Government Center,762,Majority White,Other,26.4,32.5,65,0.3,25.9,8.9,Golden Beach
2,Ron DeSantis (REP),REP,2.68,50.7,Ron DeSantis (REP) won with 50.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,St. Mary Magdalen Catholic Church,1810,Majority White,Other,25.6,31.5,51.5,1.3,35.7,11.4,Sunny Isles Beach
3,Ron DeSantis (REP),REP,21.49,59.9,Ron DeSantis (REP) won with 59.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Winston Towers Assoc - Bldg 100,2689,Majority White,Other,25.5,34.5,67.1,1.2,22.6,9.1,Sunny Isles Beach
4,Andrew Gillum (DEM),DEM,14.88,56.7,Andrew Gillum (DEM) won with 56.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Gateway Park,2753,Other,Other,26.6,29,44.3,5,39.4,11.3,Sunny Isles Beach
5,Ron DeSantis (REP),REP,0.19,49.4,Ron DeSantis (REP) won with 49.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Arlen House Condo West,3427,Majority White,Other,24.2,31.5,54.8,2.6,31.7,10.9,Sunny Isles Beach
6,Ron DeSantis (REP),REP,20.58,60.1,Ron DeSantis (REP) won with 60.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bal Harbour Village Hall,2078,Majority White,Other,22.7,36,69.2,1.4,18.2,11.1,Bal Harbour
7,Andrew Gillum (DEM),DEM,29.88,64.8,Andrew Gillum (DEM) won with 64.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bay Harbor Islands Town Hall,2212,Majority White,Other,38.2,24.5,54.5,1.5,34.8,9.2,Bay Harbor Islands
8,Andrew Gillum (DEM),DEM,27.78,63.5,Andrew Gillum (DEM) won with 63.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bay Harbor Islands Town Hall,1306,Other,Other,38.6,20,45.8,2.8,40.5,10.9,Bay Harbor Islands
9,Andrew Gillum (DEM),DEM,8.33,53.8,Andrew Gillum (DEM) won with 53.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Town of Surfside,3745,Majority White,Other,30.8,27.9,54.3,1.8,34,9.8,Surfside
10,Ron DeSantis (REP),REP,51.35,75.7,Ron DeSantis (REP) won with 75.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Town of Surfside,65,Majority White,Other,16.9,40,63.1,0,20,16.9,Indian Creek Village
