LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-13-2023 22:46,001,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),127,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),303,REP,430,0.0,29.53,0.0,70.47,REP,Ron DeSantis (REP),176,40.93,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,30.89,65.1,Ron DeSantis (REP) won with 65.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunny Isles Beach Government Center,762,Majority White,Other,26.4,32.5,65,0.3,25.9,8.9,Golden Beach
Last updated at 02-13-2023 22:46,002,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),254,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),597,REP,854,0.12,29.74,0.23,69.91,REP,Ron DeSantis (REP),343,40.16,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,2.68,50.7,Ron DeSantis (REP) won with 50.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,St. Mary Magdalen Catholic Church,1810,Majority White,Other,25.6,31.5,51.5,1.3,35.7,11.4,Sunny Isles Beach
Last updated at 02-13-2023 22:46,003,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),353,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),1042,REP,1401,0.29,25.2,0.14,74.38,REP,Ron DeSantis (REP),689,49.18,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,21.49,59.9,Ron DeSantis (REP) won with 59.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Winston Towers Assoc - Bldg 100,2689,Majority White,Other,25.5,34.5,67.1,1.2,22.6,9.1,Sunny Isles Beach
Last updated at 02-13-2023 22:46,004,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),331,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),717,REP,1057,0.76,31.32,0.09,67.83,REP,Ron DeSantis (REP),386,36.52,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,14.88,56.7,Andrew Gillum (DEM) won with 56.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Gateway Park,2753,Other,Other,26.6,29,44.3,5,39.4,11.3,Sunny Isles Beach
Last updated at 02-13-2023 22:46,005,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),560,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1090,REP,1657,0.18,33.8,0.24,65.78,REP,Ron DeSantis (REP),530,31.99,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,0.19,49.4,Ron DeSantis (REP) won with 49.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Arlen House Condo West,3427,Majority White,Other,24.2,31.5,54.8,2.6,31.7,10.9,Sunny Isles Beach
Last updated at 02-13-2023 22:46,006,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),335,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),749,REP,1087,0.28,30.82,0.0,68.91,REP,Ron DeSantis (REP),414,38.09,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,20.58,60.1,Ron DeSantis (REP) won with 60.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bal Harbour Village Hall,2078,Majority White,Other,22.7,36,69.2,1.4,18.2,11.1,Bal Harbour
Last updated at 02-13-2023 22:46,007,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),634,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),547,REP,1190,0.34,53.28,0.42,45.97,DEM,Charlie Crist (DEM),87,7.31,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,29.88,64.8,Andrew Gillum (DEM) won with 64.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bay Harbor Islands Town Hall,2212,Majority White,Other,38.2,24.5,54.5,1.5,34.8,9.2,Bay Harbor Islands
Last updated at 02-13-2023 22:46,008,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),356,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),313,REP,674,0.45,52.82,0.3,46.44,DEM,Charlie Crist (DEM),43,6.38,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,27.78,63.5,Andrew Gillum (DEM) won with 63.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bay Harbor Islands Town Hall,1306,Other,Other,38.6,20,45.8,2.8,40.5,10.9,Bay Harbor Islands
Last updated at 02-13-2023 22:46,009,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),847,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),1175,REP,2033,0.49,41.66,0.05,57.8,REP,Ron DeSantis (REP),328,16.13,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,8.33,53.8,Andrew Gillum (DEM) won with 53.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Town of Surfside,3745,Majority White,Other,30.8,27.9,54.3,1.8,34,9.8,Surfside
Last updated at 02-13-2023 22:46,010,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),6,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),29,REP,35,0.0,17.14,0.0,82.86,REP,Ron DeSantis (REP),23,65.71,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,51.35,75.7,Ron DeSantis (REP) won with 75.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Town of Surfside,65,Majority White,Other,16.9,40,63.1,0,20,16.9,Indian Creek Village
