BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
1,Marco Rubio (REP),REP,42.68,70.50,Marco Rubio (REP) won with 70.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunny Isles Beach Government Center,762,Majority White,Other,26.4,32.5,65,0.3,25.9,8.9,Golden Beach
2,Marco Rubio (REP),REP,9.00,53.02,Marco Rubio (REP) won with 53% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Mary Magdalen Catholic Church,1810,Majority White,Other,25.6,31.5,51.5,1.3,35.7,11.4,Sunny Isles Beach
3,Marco Rubio (REP),REP,20.78,58.18,Marco Rubio (REP) won with 58.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Winston Towers Assoc - Bldg 100,2689,Majority White,Other,25.5,34.5,67.1,1.2,22.6,9.1,Sunny Isles Beach
4,Patrick Murphy (DEM),DEM,10.22,53.44,Patrick Murphy (DEM) won with 53.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gateway Park,2753,Other,Other,26.6,29,44.3,5,39.4,11.3,Sunny Isles Beach
5,Marco Rubio (REP),REP,6.64,52.17,Marco Rubio (REP) won with 52.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arlen House Condo West,3427,Majority White,Other,24.2,31.5,54.8,2.6,31.7,10.9,Sunny Isles Beach
6,Marco Rubio (REP),REP,22.48,60.59,Marco Rubio (REP) won with 60.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bal Harbour Village Hall,2078,Majority White,Other,22.7,36,69.2,1.4,18.2,11.1,Bal Harbour
7,Patrick Murphy (DEM),DEM,21.54,59.28,Patrick Murphy (DEM) won with 59.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bay Harbor Islands Town Hall,2212,Majority White,Other,38.2,24.5,54.5,1.5,34.8,9.2,Bay Harbor Islands
8,Patrick Murphy (DEM),DEM,27.61,62.47,Patrick Murphy (DEM) won with 62.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bay Harbor Islands Town Hall,1306,Other,Other,38.6,20,45.8,2.8,40.5,10.9,Bay Harbor Islands
9,Patrick Murphy (DEM),DEM,2.07,49.73,Patrick Murphy (DEM) won with 49.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Town of Surfside,3745,Majority White,Other,30.8,27.9,54.3,1.8,34,9.8,Surfside
10,Marco Rubio (REP),REP,66.67,83.33,Marco Rubio (REP) won with 83.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Town of Surfside,65,Majority White,Other,16.9,40,63.1,0,20,16.9,Indian Creek Village
