LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,CANDIDATE_NAME_5,VOTES_WON_5,CANDIDATE_PARTY_5,CANDIDATE_NAME_6,VOTES_WON_6,CANDIDATE_PARTY_6,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,VOTE_SHARE_5,VOTE_SHARE_6,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_VOTE_SHARE_5,CT_VOTE_SHARE_6,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-14-2023 03:16,001,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),299,REP,Steven B. Grant (NPA),1,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),130,DEM,Write-In (OTHER),0,OTHER,431,0.23,69.37,0.23,0.0,30.16,0.0,REP,Marco Rubio (REP),169,39.21,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,42.68,70.5,Marco Rubio (REP) won with 70.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunny Isles Beach Government Center,762,Majority White,Other,26.4,32.5,65,0.3,25.9,8.9,Golden Beach
Last updated at 02-14-2023 03:16,002,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),594,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),247,DEM,Write-In (OTHER),0,OTHER,851,0.35,69.8,0.71,0.12,29.02,0.0,REP,Marco Rubio (REP),347,40.78,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,9.0,53.02,Marco Rubio (REP) won with 53% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Mary Magdalen Catholic Church,1810,Majority White,Other,25.6,31.5,51.5,1.3,35.7,11.4,Sunny Isles Beach
Last updated at 02-14-2023 03:16,003,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),1024,REP,Steven B. Grant (NPA),11,NPA,Tuan TQ Nguyen (NPA),5,NPA,Val Demings (DEM),351,DEM,Write-In (OTHER),0,OTHER,1396,0.36,73.35,0.79,0.36,25.14,0.0,REP,Marco Rubio (REP),673,48.21,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,20.78,58.18,Marco Rubio (REP) won with 58.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Winston Towers Assoc - Bldg 100,2689,Majority White,Other,25.5,34.5,67.1,1.2,22.6,9.1,Sunny Isles Beach
Last updated at 02-14-2023 03:16,004,Dennis Misigoy (LPF),10,LPF,Marco Rubio (REP),679,REP,Steven B. Grant (NPA),5,NPA,Tuan TQ Nguyen (NPA),6,NPA,Val Demings (DEM),353,DEM,Write-In (OTHER),1,OTHER,1054,0.95,64.42,0.47,0.57,33.49,0.09,REP,Marco Rubio (REP),326,30.93,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,10.22,53.44,Patrick Murphy (DEM) won with 53.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gateway Park,2753,Other,Other,26.6,29,44.3,5,39.4,11.3,Sunny Isles Beach
Last updated at 02-14-2023 03:16,005,Dennis Misigoy (LPF),6,LPF,Marco Rubio (REP),1063,REP,Steven B. Grant (NPA),8,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),573,DEM,Write-In (OTHER),0,OTHER,1652,0.36,64.35,0.48,0.12,34.69,0.0,REP,Marco Rubio (REP),490,29.66,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,6.64,52.17,Marco Rubio (REP) won with 52.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arlen House Condo West,3427,Majority White,Other,24.2,31.5,54.8,2.6,31.7,10.9,Sunny Isles Beach
Last updated at 02-14-2023 03:16,006,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),728,REP,Steven B. Grant (NPA),1,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),357,DEM,Write-In (OTHER),1,OTHER,1089,0.09,66.85,0.09,0.09,32.78,0.09,REP,Marco Rubio (REP),371,34.07,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,22.48,60.59,Marco Rubio (REP) won with 60.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bal Harbour Village Hall,2078,Majority White,Other,22.7,36,69.2,1.4,18.2,11.1,Bal Harbour
Last updated at 02-14-2023 03:16,007,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),533,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),3,NPA,Val Demings (DEM),649,DEM,Write-In (OTHER),0,OTHER,1190,0.17,44.79,0.25,0.25,54.54,0.0,DEM,Val Demings (DEM),116,9.75,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,21.54,59.28,Patrick Murphy (DEM) won with 59.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bay Harbor Islands Town Hall,2212,Majority White,Other,38.2,24.5,54.5,1.5,34.8,9.2,Bay Harbor Islands
Last updated at 02-14-2023 03:16,008,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),310,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),354,DEM,Write-In (OTHER),1,OTHER,674,0.45,45.99,0.89,0.0,52.52,0.15,DEM,Val Demings (DEM),44,6.53,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,27.61,62.47,Patrick Murphy (DEM) won with 62.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bay Harbor Islands Town Hall,1306,Other,Other,38.6,20,45.8,2.8,40.5,10.9,Bay Harbor Islands
Last updated at 02-14-2023 03:16,009,Dennis Misigoy (LPF),8,LPF,Marco Rubio (REP),1130,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),3,NPA,Val Demings (DEM),882,DEM,Write-In (OTHER),1,OTHER,2024,0.4,55.83,0.0,0.15,43.58,0.05,REP,Marco Rubio (REP),248,12.25,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,2.07,49.73,Patrick Murphy (DEM) won with 49.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Town of Surfside,3745,Majority White,Other,30.8,27.9,54.3,1.8,34,9.8,Surfside
Last updated at 02-14-2023 03:16,010,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),32,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),3,DEM,Write-In (OTHER),0,OTHER,35,0.0,91.43,0.0,0.0,8.57,0.0,REP,Marco Rubio (REP),29,82.86,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,66.67,83.33,Marco Rubio (REP) won with 83.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Town of Surfside,65,Majority White,Other,16.9,40,63.1,0,20,16.9,Indian Creek Village
